index,contract_no,division,product_name,customer,sales_rep,price
2684,CNT-82315863,Central,ABC Stone,Mendez-Nunez,Parker,19.11
2685,CNT-16511549,West,Surge Stone,Williams-Hudson,Madhu,34.87
2686,CNT-16973281,NorthEast,#67 Stone,"White, Smith and Paul",Steve,47.72
2687,CNT-20102634,West,#67 Stone,Jackson-Berry,Daniel,48.67
2688,CNT-95286575,SouthWest,Surge Stone,Young-Esparza,Daniel,32.86
2689,CNT-70747443,SouthWest,Pea Gravel,Solomon-Miller,Connor,42.78
2690,CNT-58019038,West,Railroad Ballast,Nichols-Torres,Shiva,11.52
2691,CNT-12863828,East,Concrete Sand,Davis-Simmons,Niket,26.08
2692,CNT-39521814,SouthWest,Concrete Sand,"Ferguson, Mcintosh and Young",Parker,19.41
2693,CNT-12787687,SouthWest,ABC Stone,Bentley Ltd,Arthur,11.23
2694,CNT-11088081,SouthWest,Screenings,Mccall Ltd,Heath,20.68
2695,CNT-54536297,Central,#4 Stone,Hill Group,Abi,14.32
2696,CNT-03814553,SouthWest,ABC Stone,Garza-Scott,Daniel,28.53
2697,CNT-43471600,NorthEast,#57 Stone,Sanchez Inc,Abi,49.14
2698,CNT-28967606,Central,Railroad Ballast,"Elliott, Bell and Larson",Abi,17.32
2699,CNT-87608887,West,#57 Stone,"Davis, Choi and Kelly",Vashon,43.83
2700,CNT-80311613,East,Pea Gravel,Mcguire Ltd,Parker,17.58
2701,CNT-67981837,East,Surge Stone,Williams PLC,Heath,31.33
2702,CNT-15014468,NorthEast,Screenings,"Gonzalez, Nelson and Allen",Arthur,35.44
2703,CNT-78046796,NorthEast,Railroad Ballast,Brown-Davis,Vashon,43.17
2704,CNT-26827206,East,Concrete Sand,Gibson Ltd,Arthur,40.49
2705,CNT-64320683,SouthWest,Surge Stone,Martinez-Garcia,Daniel,25.47
2706,CNT-30297477,NorthEast,#57 Stone,Andrews Group,Niket,35.62
2707,CNT-17658747,East,ABC Stone,Evans-Morris,Steve,35.2
2708,CNT-54098623,East,Mason Sand,"Benitez, Golden and Conway",Abi,11.25
2709,CNT-90633389,NorthEast,#67 Stone,Sims PLC,Steve,33.33
2710,CNT-53224753,Central,Concrete Sand,"Wilson, Davis and Shannon",Arthur,21.1
2711,CNT-20667711,West,Pea Gravel,Hernandez-Church,Steve,36.87
2712,CNT-08705142,East,Screenings,Brandt-Rowland,Niket,27.2
2713,CNT-51953638,East,Rip Rap,Garcia-King,Heath,42.74
2714,CNT-97606347,East,Railroad Ballast,"Wright, Rodriguez and Clark",Abi,34.4
2715,CNT-51015493,SouthWest,Mason Sand,"Nicholson, Hardy and Powell",Parker,36.82
2716,CNT-16798023,SouthWest,Railroad Ballast,Lynch-Martin,Heath,45.18
2717,CNT-95984351,NorthEast,Railroad Ballast,Williamson-Wallace,Steve,16.04
2718,CNT-10547358,East,Mason Sand,"Alvarado, Zimmerman and Washington",Parker,15.38
2719,CNT-10826496,NorthEast,Pea Gravel,Flores-Duffy,Madhu,17.02
2720,CNT-86165678,NorthEast,Pea Gravel,Harris-Bass,Vashon,39.6
2721,CNT-28270706,East,#57 Stone,"Carr, Smith and White",Abi,16.6
2722,CNT-93854115,NorthEast,#4 Stone,Williams and Sons,Vashon,32.44
2723,CNT-33476775,West,#57 Stone,Bell-Brown,Niket,36.66
2724,CNT-21355675,West,ABC Stone,Carter Ltd,Niket,11.47
2725,CNT-22846149,SouthWest,Screenings,Lopez Inc,Heath,29.43
2726,CNT-12797924,NorthEast,Concrete Sand,Le PLC,Heath,42.62
2727,CNT-07286333,Central,Mason Sand,Stephens-Cohen,Vashon,46.55
2728,CNT-71122211,West,Mason Sand,Williams-Walker,Madhu,14.66
2729,CNT-85421425,West,Rip Rap,Silva LLC,Abi,23.19
2730,CNT-90665223,Central,#57 Stone,"Garcia, Jones and Hill",Vashon,11.66
2731,CNT-44200117,West,Concrete Sand,Bailey-Bray,Connor,23.03
2732,CNT-18335744,West,#57 Stone,Davis-Flynn,Vashon,29.34
2733,CNT-38581857,Central,#57 Stone,Vega-Stevens,Heath,12.52
2734,CNT-52635085,SouthWest,Pea Gravel,Garcia-Hernandez,Madhu,24.55
2735,CNT-09114543,East,#4 Stone,"Brown, Barnett and Alvarez",Daniel,22.33
2736,CNT-54026147,West,Screenings,Mercado-Pratt,Madhu,24.82
2737,CNT-33371646,Central,ABC Stone,Lloyd and Sons,Madhu,42.42
2738,CNT-71427401,NorthEast,ABC Stone,"Johnson, Hodge and Alexander",Rijo,43.14
2739,CNT-15238451,East,ABC Stone,"Wilson, Brooks and Smith",Abi,48.32
2740,CNT-65817338,NorthEast,#4 Stone,Williams-Townsend,Connor,13.59
2741,CNT-98064460,SouthWest,Rip Rap,Martinez-Scott,Vashon,17.14
2742,CNT-08078309,West,Rip Rap,"Hurley, Arnold and Murray",Rijo,11.44
2743,CNT-57496440,East,#4 Stone,"Mitchell, Jacobs and Jones",Steve,22.69
2744,CNT-26529269,SouthWest,Rip Rap,Mcfarland-Lopez,Madhu,30.79
2745,CNT-63828058,West,#57 Stone,Wright-Walker,Niket,34.72
2746,CNT-79939718,SouthWest,#4 Stone,Scott-Patel,Heath,43.94
2747,CNT-98384188,Central,#4 Stone,Rogers LLC,Niket,18.58
2748,CNT-62688741,Central,Railroad Ballast,"Baker, Daniel and Huffman",Steve,19.44
2749,CNT-06123570,East,Surge Stone,Martin-Herman,Rijo,24.5
2750,CNT-73461073,East,Rip Rap,Davenport and Sons,Connor,17.45
2751,CNT-40107426,SouthWest,Concrete Sand,"Mahoney, Lopez and Thompson",Madhu,17.59
2752,CNT-01654249,West,Screenings,Moore-Barber,Steve,15.98
2753,CNT-40205534,SouthWest,Concrete Sand,"Davis, Wiley and Duncan",Shiva,46.89
2754,CNT-10256060,SouthWest,Mason Sand,Walker LLC,Steve,43.14
2755,CNT-04921965,NorthEast,ABC Stone,Price Group,Rijo,39.45
2756,CNT-02449228,SouthWest,#4 Stone,Patton Inc,Arthur,28.75
2757,CNT-46299812,Central,ABC Stone,Mckenzie LLC,Abi,35.17
2758,CNT-69961697,West,Railroad Ballast,Smith PLC,Madhu,21.35
2759,CNT-56585121,Central,Rip Rap,"Weaver, Patel and Wilson",Niket,10.9
2760,CNT-30407056,East,Concrete Sand,Jones-Schmidt,Arthur,37.1
2761,CNT-99581857,SouthWest,Rip Rap,"Riley, Arellano and Gillespie",Niket,22.3
2762,CNT-11949077,West,#67 Stone,Aguilar and Sons,Daniel,13.19
2763,CNT-41931750,East,Railroad Ballast,Jacobs-Frazier,Daniel,47.76
2764,CNT-36681325,West,#4 Stone,Pope and Sons,Niket,26.26
2765,CNT-97028324,Central,Surge Stone,"Lopez, Moore and Mcdonald",Connor,16.4
2766,CNT-28493331,West,Surge Stone,Long Group,Daniel,27.21
2767,CNT-24730811,West,Mason Sand,Davis-Steele,Steve,19.02
2768,CNT-27172160,East,Rip Rap,Boone-Hicks,Shiva,29.99
2769,CNT-95503150,Central,Surge Stone,"Holt, Dawson and Miller",Shiva,14.52
2770,CNT-70679972,East,Mason Sand,Chapman-Weiss,Abi,12.13
2771,CNT-58381278,West,Pea Gravel,Hudson Ltd,Abi,18.85
2772,CNT-44550471,SouthWest,Surge Stone,Cruz-Nichols,Parker,41.24
2773,CNT-38000220,Central,Mason Sand,"Stevenson, Jennings and Horton",Madhu,19.95
2774,CNT-79347379,NorthEast,#67 Stone,Clark-Herman,Shiva,42.48
2775,CNT-50878009,Central,#57 Stone,"Wilson, Thompson and Hayes",Daniel,34.37
2776,CNT-93224213,NorthEast,#67 Stone,"Garza, Sanders and Shea",Rijo,10.59
2777,CNT-93817094,SouthWest,#57 Stone,Harris PLC,Steve,43.24
2778,CNT-87311157,East,#57 Stone,Holland-Sanchez,Madhu,15.06
2779,CNT-81450091,West,Surge Stone,Ruiz-Lee,Madhu,36.52
2780,CNT-40821200,SouthWest,#57 Stone,Taylor-Knox,Arthur,47.93
2781,CNT-21559254,East,Concrete Sand,Gonzalez-King,Shiva,20.23
2782,CNT-39372162,SouthWest,#67 Stone,Thompson Ltd,Daniel,12.0
2783,CNT-00289880,NorthEast,ABC Stone,Newman-Lewis,Connor,34.47
2784,CNT-56560059,Central,Surge Stone,Garcia and Sons,Abi,43.38
2785,CNT-09463614,East,Surge Stone,Riley PLC,Shiva,10.52
2786,CNT-67920764,NorthEast,#4 Stone,"Rivera, Simmons and Baker",Heath,40.57
2787,CNT-19531565,SouthWest,#67 Stone,"Young, Robbins and Townsend",Steve,27.31
2788,CNT-74616354,Central,#57 Stone,Blackburn-Johnson,Daniel,10.47
2789,CNT-15191158,NorthEast,Concrete Sand,"Gregory, Harris and Chapman",Heath,21.51
2790,CNT-29202775,West,Railroad Ballast,Harris and Sons,Abi,37.43
2791,CNT-73943062,West,Surge Stone,"Grant, Duffy and Green",Abi,25.57
2792,CNT-67342829,East,Concrete Sand,Thomas-Salazar,Niket,30.11
2793,CNT-01715928,Central,Pea Gravel,"Campbell, Bowman and Kerr",Madhu,29.95
2794,CNT-07831857,NorthEast,Surge Stone,Obrien-Sanford,Niket,37.14
2795,CNT-08724301,NorthEast,#4 Stone,"Guerrero, Burton and Smith",Rijo,36.59
2796,CNT-18889313,NorthEast,Rip Rap,"Carter, Roberts and Valentine",Arthur,45.4
2797,CNT-44782999,NorthEast,Railroad Ballast,Kaiser-Hall,Daniel,45.26
2798,CNT-06622672,NorthEast,Rip Rap,"Davis, Johnson and Hughes",Madhu,40.4
2799,CNT-67280280,West,ABC Stone,Serrano-Sweeney,Heath,35.67
2800,CNT-58637998,SouthWest,#4 Stone,"Johnson, Smith and Riley",Abi,30.9
2801,CNT-98176212,East,Rip Rap,Clements-Vincent,Madhu,29.31
2802,CNT-15555843,NorthEast,Concrete Sand,"Odonnell, Wilson and Escobar",Parker,19.05
2803,CNT-76407382,East,Screenings,Carpenter Inc,Vashon,18.62
2804,CNT-95294118,NorthEast,Surge Stone,Fields-Martinez,Steve,31.25
2805,CNT-60151988,SouthWest,Concrete Sand,White Ltd,Connor,38.78
2806,CNT-04938422,East,#4 Stone,Hurley-Mora,Daniel,46.24
2807,CNT-45171556,Central,ABC Stone,Phillips-Nunez,Vashon,32.0
2808,CNT-52660137,SouthWest,Pea Gravel,Williams LLC,Heath,49.08
2809,CNT-07894633,East,Surge Stone,Stevens-Daniels,Niket,26.6
2810,CNT-84031118,East,#67 Stone,Camacho PLC,Abi,35.77
2811,CNT-79232996,NorthEast,Mason Sand,Wallace-Carson,Heath,22.08
2812,CNT-18372864,Central,Rip Rap,Flores-Ramirez,Rijo,48.46
2813,CNT-16143325,East,Mason Sand,Higgins-Lawson,Daniel,45.56
2814,CNT-87538604,SouthWest,#4 Stone,Wyatt-Bailey,Madhu,15.98
2815,CNT-78063898,West,#67 Stone,Wagner Group,Arthur,16.03
2816,CNT-05846622,Central,#67 Stone,Thornton LLC,Madhu,18.27
2817,CNT-12162152,NorthEast,Concrete Sand,Castillo Group,Daniel,24.58
2818,CNT-81013165,West,Railroad Ballast,"Valenzuela, Moore and Kirk",Parker,36.21
2819,CNT-18363899,SouthWest,Surge Stone,Simpson Inc,Daniel,32.16
2820,CNT-45774265,NorthEast,Mason Sand,Robertson Inc,Arthur,36.51
2821,CNT-92912783,Central,#4 Stone,"Lane, Jones and Schultz",Shiva,48.13
2822,CNT-40982406,SouthWest,Rip Rap,Hayes LLC,Madhu,12.44
2823,CNT-56740419,NorthEast,#57 Stone,Daniels-Mullins,Shiva,40.5
2824,CNT-42673591,Central,Concrete Sand,"Gutierrez, Hernandez and Booker",Shiva,17.96
2825,CNT-32592110,East,#4 Stone,Hall Ltd,Niket,32.96
2826,CNT-29033779,East,#57 Stone,"Thomas, Smith and Crawford",Steve,41.88
2827,CNT-26103397,SouthWest,Screenings,"Matthews, Lopez and Hill",Madhu,11.75
2828,CNT-14502215,Central,Concrete Sand,"Smith, Huff and Anderson",Rijo,46.55
2829,CNT-09830362,Central,ABC Stone,"Vance, Parrish and White",Arthur,40.2
2830,CNT-83544195,NorthEast,Mason Sand,Smith and Sons,Vashon,37.18
2831,CNT-14952990,NorthEast,Mason Sand,Savage-Pearson,Daniel,45.99
2832,CNT-09286007,NorthEast,Mason Sand,"Munoz, Mason and Lewis",Niket,40.44
2833,CNT-23926862,SouthWest,Mason Sand,Dawson-Mcgrath,Vashon,27.72
2834,CNT-30043630,Central,#4 Stone,"Young, Martinez and Case",Madhu,48.86
2835,CNT-44567557,SouthWest,Mason Sand,"Page, Sanchez and Nicholson",Shiva,38.14
2836,CNT-77172284,West,Mason Sand,"Schneider, Morrow and Robertson",Vashon,35.87
2837,CNT-65657481,West,Rip Rap,Burns-Solomon,Shiva,36.32
2838,CNT-55511902,West,Rip Rap,"Kelly, Anderson and Nguyen",Shiva,16.62
2839,CNT-57480675,West,Mason Sand,Price LLC,Daniel,16.95
2840,CNT-96663976,East,#57 Stone,Heath-Rodriguez,Abi,36.12
2841,CNT-06128336,West,Screenings,"Pena, Kelley and Gonzalez",Parker,13.3
2842,CNT-25998403,East,Surge Stone,Good Group,Parker,30.21
2843,CNT-99921960,West,#57 Stone,"Williams, Rose and Bowen",Madhu,15.76
2844,CNT-87901900,Central,Railroad Ballast,Carlson Inc,Parker,36.78
2845,CNT-84937349,SouthWest,Screenings,Mitchell Inc,Arthur,27.88
2846,CNT-94397400,SouthWest,#57 Stone,"Vasquez, Klein and Ayers",Rijo,46.26
2847,CNT-29122085,East,#57 Stone,Garcia-Kline,Niket,14.71
2848,CNT-55196044,West,Screenings,Pittman Inc,Vashon,19.66
2849,CNT-58001060,East,#67 Stone,Melton LLC,Shiva,23.83
2850,CNT-57994424,East,Mason Sand,Spears Inc,Shiva,47.23
2851,CNT-56617591,East,#57 Stone,Moore Group,Connor,43.71
2852,CNT-46555461,SouthWest,Rip Rap,Sellers Inc,Heath,33.6
2853,CNT-22259230,West,Concrete Sand,"Williams, Alvarado and Stone",Vashon,48.14
2854,CNT-08246233,SouthWest,Screenings,Lamb-Baker,Vashon,41.57
2855,CNT-96093721,SouthWest,Screenings,Macias-Garrison,Steve,38.84
2856,CNT-28609170,East,Surge Stone,Mccann-Davis,Rijo,38.55
2857,CNT-05982449,SouthWest,ABC Stone,"Cordova, Johnson and Fritz",Rijo,13.81
2858,CNT-16241136,SouthWest,#57 Stone,"Ramos, White and Evans",Madhu,35.2
2859,CNT-57269339,NorthEast,Concrete Sand,Sanford-Lewis,Parker,30.07
2860,CNT-97164754,SouthWest,Rip Rap,Strong-Joseph,Abi,16.94
2861,CNT-34580439,East,Pea Gravel,Williams and Sons,Parker,39.84
2862,CNT-11953243,East,#57 Stone,Owens-Tucker,Heath,37.51
2863,CNT-29160545,Central,Railroad Ballast,"Thomas, Miller and Watson",Rijo,28.47
2864,CNT-23396969,NorthEast,Mason Sand,Price LLC,Daniel,23.34
2865,CNT-07000721,Central,#67 Stone,"Gaines, Williams and Schmidt",Steve,22.67
2866,CNT-34338918,NorthEast,Concrete Sand,Johnson Ltd,Arthur,18.09
2867,CNT-99997754,NorthEast,Rip Rap,Lee-Black,Rijo,39.71
2868,CNT-04678630,West,Pea Gravel,Howell-White,Rijo,47.01
2869,CNT-35491299,NorthEast,Rip Rap,Pacheco PLC,Parker,47.93
2870,CNT-17259907,SouthWest,#4 Stone,Mann-Walls,Vashon,28.84
2871,CNT-81987464,East,Rip Rap,Davis Group,Vashon,31.11
2872,CNT-61898174,NorthEast,Screenings,"Johnson, Steele and Cross",Arthur,36.34
2873,CNT-63963935,West,Concrete Sand,"Martinez, Mendez and Andrews",Vashon,47.96
2874,CNT-51151845,NorthEast,Rip Rap,Garcia-Taylor,Abi,46.63
2875,CNT-65283490,NorthEast,ABC Stone,Vega-Lopez,Vashon,15.48
2876,CNT-39385296,Central,Rip Rap,Snyder Inc,Vashon,41.39
2877,CNT-45030470,West,#4 Stone,Dawson-Garcia,Arthur,46.39
2878,CNT-65879732,SouthWest,Surge Stone,Maldonado Ltd,Shiva,40.92
2879,CNT-07824018,Central,Rip Rap,"Hernandez, Schultz and Rogers",Abi,35.27
2880,CNT-50222801,NorthEast,Pea Gravel,Garcia-Price,Heath,40.79
2881,CNT-46816061,NorthEast,#4 Stone,Smith Inc,Vashon,46.71
2882,CNT-08058593,NorthEast,Pea Gravel,"Larson, Patrick and Jackson",Arthur,33.68
2883,CNT-83543791,NorthEast,#67 Stone,Greene LLC,Niket,24.56
2884,CNT-63988856,SouthWest,#57 Stone,Haley Inc,Daniel,48.13
2885,CNT-39285342,NorthEast,#67 Stone,Martinez LLC,Niket,41.2
2886,CNT-27271969,SouthWest,Rip Rap,"York, Anderson and Anderson",Shiva,46.67
2887,CNT-00518733,NorthEast,Pea Gravel,Peters-Bean,Parker,24.48
2888,CNT-06425521,NorthEast,#4 Stone,Wright-Nichols,Shiva,20.41
2889,CNT-52199753,Central,ABC Stone,"Wallace, Randall and Duffy",Parker,41.5
2890,CNT-73826488,NorthEast,Pea Gravel,Chen PLC,Steve,24.89
2891,CNT-62327907,NorthEast,#67 Stone,Duncan-Holland,Daniel,39.48
2892,CNT-52492999,West,Surge Stone,Thompson and Sons,Parker,31.05
2893,CNT-44036681,Central,Rip Rap,Hall-Rodriguez,Abi,49.49
2894,CNT-14983815,West,Surge Stone,"King, Ferrell and Scott",Niket,12.9
2895,CNT-38119580,Central,Concrete Sand,Bennett-Bentley,Shiva,13.79
2896,CNT-70393249,Central,Mason Sand,Larson-Gallegos,Vashon,44.16
2897,CNT-16341415,SouthWest,Surge Stone,"Hoffman, Morgan and Martinez",Heath,25.5
2898,CNT-38983909,West,#4 Stone,Harrington LLC,Arthur,23.94
2899,CNT-32902691,East,Screenings,"Russell, Taylor and Orozco",Heath,40.32
2900,CNT-89799958,Central,Rip Rap,Mata-James,Vashon,35.41
2901,CNT-73455506,Central,Pea Gravel,"Kerr, Pope and Parker",Abi,28.42
2902,CNT-27037061,NorthEast,Rip Rap,Trevino Ltd,Arthur,37.98
2903,CNT-59295777,SouthWest,Mason Sand,"Page, Delgado and Ward",Steve,26.58
2904,CNT-47049082,NorthEast,Railroad Ballast,Warren-Ayala,Arthur,44.61
2905,CNT-69193294,NorthEast,ABC Stone,Harris Group,Daniel,42.58
2906,CNT-03316072,NorthEast,Concrete Sand,Duran-Williams,Steve,17.09
2907,CNT-04208638,NorthEast,Rip Rap,"Galvan, Lewis and Brown",Vashon,31.92
2908,CNT-97823223,West,#4 Stone,Morrison-Smith,Vashon,26.47
2909,CNT-49343347,West,Railroad Ballast,Gardner-Jimenez,Abi,17.07
2910,CNT-42331303,SouthWest,#67 Stone,Cooper Group,Madhu,48.12
2911,CNT-06874058,Central,ABC Stone,Carlson-Logan,Daniel,17.21
2912,CNT-00123636,West,Rip Rap,"Brown, Harris and Dean",Arthur,15.36
2913,CNT-67884931,East,#67 Stone,"Medina, Valencia and Tanner",Madhu,28.26
2914,CNT-04337826,NorthEast,ABC Stone,Armstrong PLC,Madhu,13.74
2915,CNT-59100704,East,Pea Gravel,"Hayes, Cardenas and Swanson",Shiva,21.66
2916,CNT-95010887,Central,ABC Stone,Williams and Sons,Heath,11.6
2917,CNT-26157810,SouthWest,Railroad Ballast,Klein LLC,Vashon,27.47
2918,CNT-01692280,West,ABC Stone,Walker Ltd,Connor,36.75
2919,CNT-30262732,Central,#57 Stone,Jones-Abbott,Niket,32.26
2920,CNT-68290910,East,Railroad Ballast,Scott-Washington,Daniel,20.88
2921,CNT-82826419,West,Railroad Ballast,Jackson PLC,Heath,24.43
2922,CNT-49207121,NorthEast,ABC Stone,"Weber, Jones and Williams",Abi,49.35
2923,CNT-59578767,Central,Screenings,Collins-Barry,Parker,10.34
2924,CNT-96866216,East,Rip Rap,"Butler, Taylor and Burke",Arthur,19.89
2925,CNT-90427681,Central,Mason Sand,Davila-Love,Madhu,19.16
2926,CNT-97121795,East,Screenings,"Frederick, Richardson and Freeman",Steve,39.75
2927,CNT-26245828,SouthWest,Mason Sand,Perez Inc,Madhu,19.68
2928,CNT-61036652,Central,Railroad Ballast,Barber-Long,Heath,26.97
2929,CNT-71834369,West,#67 Stone,Martin and Sons,Steve,43.7
2930,CNT-57812015,East,#67 Stone,"Ryan, Thompson and Mckee",Madhu,38.72
2931,CNT-16290559,Central,#4 Stone,Payne-Singh,Madhu,45.92
2932,CNT-21278909,SouthWest,Rip Rap,Dennis LLC,Parker,10.63
2933,CNT-15308534,NorthEast,Mason Sand,Carr Ltd,Rijo,49.07
2934,CNT-42936812,SouthWest,Mason Sand,"Acosta, Duke and Hess",Connor,42.68
2935,CNT-57821853,Central,Railroad Ballast,"Bennett, Brown and Jones",Vashon,38.82
2936,CNT-83001746,SouthWest,Mason Sand,Glover-Holmes,Steve,37.71
2937,CNT-96915190,East,Surge Stone,Garza-Clark,Vashon,39.4
2938,CNT-77590328,SouthWest,Mason Sand,Burke Inc,Niket,38.14
2939,CNT-04904571,East,Screenings,Lee Inc,Niket,40.35
2940,CNT-54766347,SouthWest,#4 Stone,"Cole, Reynolds and Roberts",Daniel,48.96
2941,CNT-66324155,SouthWest,ABC Stone,Anderson and Sons,Arthur,22.83
2942,CNT-33849110,East,Rip Rap,Davis-Mccoy,Niket,38.32
2943,CNT-80365428,Central,Mason Sand,Patel Ltd,Niket,16.01
2944,CNT-65865961,West,Rip Rap,Roberson LLC,Arthur,12.91
2945,CNT-76638703,West,Pea Gravel,Rodriguez-Garcia,Niket,25.38
2946,CNT-84205762,Central,Railroad Ballast,"Holt, Murray and Miller",Rijo,47.1
2947,CNT-93708327,East,ABC Stone,Santiago-Miller,Niket,40.42
2948,CNT-70857066,Central,Railroad Ballast,Walsh-Harris,Arthur,40.86
2949,CNT-68755469,SouthWest,#57 Stone,Padilla-Edwards,Parker,26.78
2950,CNT-23915141,NorthEast,Railroad Ballast,Castro Inc,Vashon,31.87
2951,CNT-12203569,West,Mason Sand,"Kelley, Hernandez and Richards",Heath,25.88
2952,CNT-74090395,SouthWest,#57 Stone,Ortiz Ltd,Abi,27.77
2953,CNT-95222959,West,Screenings,"Williams, Ibarra and Simmons",Madhu,27.82
2954,CNT-59287376,SouthWest,#4 Stone,"Garcia, Patterson and Chase",Arthur,11.0
2955,CNT-14377904,Central,Screenings,Calderon-Hampton,Parker,26.71
2956,CNT-65483391,East,Railroad Ballast,Smith PLC,Madhu,20.57
2957,CNT-06743771,NorthEast,Surge Stone,"Weaver, Middleton and Owens",Daniel,17.32
2958,CNT-34732351,West,ABC Stone,"Clarke, Terrell and Sandoval",Madhu,41.18
2959,CNT-58962325,West,Screenings,Rivera Group,Arthur,22.51
2960,CNT-97523368,West,Screenings,Arias Group,Shiva,40.14
2961,CNT-39720463,West,Pea Gravel,"Moreno, Spencer and Rodriguez",Parker,39.96
2962,CNT-97169723,NorthEast,#67 Stone,Wade-Yang,Connor,28.1
2963,CNT-44254763,East,ABC Stone,Sanchez-Lewis,Niket,39.93
2964,CNT-49279909,NorthEast,Concrete Sand,Clark LLC,Abi,24.81
2965,CNT-72571707,NorthEast,Mason Sand,Collins-Sheppard,Steve,27.19
2966,CNT-46522109,SouthWest,Surge Stone,"Kaufman, Ramirez and Cameron",Vashon,22.37
2967,CNT-49025406,SouthWest,Railroad Ballast,"Patterson, Wilson and Davis",Parker,36.62
2968,CNT-37796135,SouthWest,#4 Stone,Floyd and Sons,Arthur,34.54
2969,CNT-96815013,NorthEast,Screenings,"Nixon, Murray and Lewis",Daniel,28.41
2970,CNT-34374604,West,Surge Stone,Lara-Cochran,Rijo,11.27
2971,CNT-87721092,East,Pea Gravel,Taylor-Taylor,Vashon,46.47
2972,CNT-55606672,East,Rip Rap,Holland-Walker,Niket,27.84
2973,CNT-59341352,SouthWest,Rip Rap,Santana-Thomas,Steve,34.43
2974,CNT-31315968,Central,#4 Stone,"Lopez, Johnson and Roberson",Vashon,39.24
2975,CNT-27091637,NorthEast,Screenings,Dyer Group,Arthur,25.56
2976,CNT-47941745,Central,#4 Stone,Green-Robinson,Vashon,49.69
2977,CNT-17113402,West,#57 Stone,"Quinn, Ryan and Davis",Steve,23.37
2978,CNT-18144591,East,#57 Stone,Frederick and Sons,Parker,15.0
2979,CNT-57761410,West,Railroad Ballast,"Fields, Barnes and Garner",Abi,41.14
2980,CNT-06777323,SouthWest,Screenings,Jennings PLC,Connor,38.48
2981,CNT-10956975,West,ABC Stone,Simmons-Cook,Arthur,32.71
2982,CNT-68158356,Central,Concrete Sand,Harris-Nelson,Connor,33.54
2983,CNT-47004191,Central,#67 Stone,"Smith, Delgado and Church",Madhu,36.74
2984,CNT-36378376,Central,Surge Stone,"Ramirez, May and Miller",Parker,39.4
2985,CNT-92616207,Central,#67 Stone,"Ortiz, Robinson and Cortez",Daniel,10.8
2986,CNT-85558767,Central,Rip Rap,Brown Group,Vashon,34.45
2987,CNT-92930426,SouthWest,Pea Gravel,"Thomas, Brown and Cook",Steve,10.29
2988,CNT-38165035,SouthWest,Surge Stone,"Myers, Lewis and Yates",Daniel,28.08
2989,CNT-96511756,West,Screenings,Hall and Sons,Parker,27.99
2990,CNT-23471379,West,Rip Rap,Moore-Garrett,Daniel,42.85
2991,CNT-74733774,Central,#57 Stone,"Martin, Bautista and Jones",Daniel,42.1
2992,CNT-52343111,NorthEast,Pea Gravel,Sanchez LLC,Vashon,15.64
2993,CNT-42700711,East,Mason Sand,Martinez-Golden,Heath,25.91
2994,CNT-45819618,Central,Screenings,Tate LLC,Madhu,43.99
2995,CNT-63282978,West,ABC Stone,Rogers PLC,Niket,19.62
2996,CNT-40126911,SouthWest,Screenings,Henderson LLC,Heath,38.15
2997,CNT-98386584,West,Pea Gravel,"Smith, Bryant and Wood",Niket,39.18
2998,CNT-15665311,NorthEast,Pea Gravel,Bass-Ballard,Shiva,10.43
2999,CNT-80930384,East,Screenings,"Crawford, Smith and Rubio",Abi,44.08
3000,CNT-71429905,East,#4 Stone,Johnson PLC,Shiva,35.04
3001,CNT-62682016,West,Screenings,"Camacho, Macias and Swanson",Abi,27.0
3002,CNT-99029922,West,#67 Stone,Fernandez Group,Steve,11.66
3003,CNT-67531536,NorthEast,Surge Stone,Stewart-Lambert,Niket,49.25
3004,CNT-83764172,SouthWest,Mason Sand,"Webb, Glover and Martinez",Madhu,31.81
3005,CNT-29060678,West,Pea Gravel,"Stewart, Perez and Sutton",Vashon,41.36
3006,CNT-31106158,West,Mason Sand,Williams-Lucas,Connor,22.26
3007,CNT-23625092,Central,Surge Stone,Nguyen PLC,Abi,36.67
3008,CNT-26670296,Central,#67 Stone,Andrews Inc,Arthur,17.35
3009,CNT-57932824,SouthWest,Concrete Sand,Rowe PLC,Shiva,14.74
3010,CNT-38068844,Central,#4 Stone,"Morgan, Thompson and Wall",Parker,39.49
3011,CNT-58088404,NorthEast,ABC Stone,Franklin-Martinez,Connor,43.81
3012,CNT-38936968,Central,Screenings,"Williams, Casey and Reyes",Connor,32.84
3013,CNT-64821817,West,Concrete Sand,Villarreal PLC,Parker,39.25
3014,CNT-17005235,NorthEast,#4 Stone,"Burgess, Branch and Houston",Vashon,48.85
3015,CNT-25059588,West,#67 Stone,"Grant, Donaldson and Ross",Madhu,15.6
3016,CNT-29600204,SouthWest,Concrete Sand,Wise-Sellers,Connor,36.56
3017,CNT-77527314,NorthEast,Surge Stone,"Berry, Patel and Brooks",Arthur,20.82
3018,CNT-34435709,West,Railroad Ballast,Ward PLC,Shiva,33.71
3019,CNT-58556404,SouthWest,Surge Stone,Marshall-Morales,Parker,14.28
3020,CNT-43336413,NorthEast,#4 Stone,Harrison Inc,Abi,46.12
3021,CNT-48551867,West,ABC Stone,Henderson Group,Parker,19.16
3022,CNT-97452507,NorthEast,ABC Stone,Pacheco Inc,Abi,49.46
